Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,rsi,rsi_ema,upper_band,lower_band,sell_signal
2014-05-30,22.78499984741211,23.006071090698242,22.46071434020996,22.60714340209961,19.99681282043457,564020800,,,,,,,False
2014-06-02,22.641429901123047,22.672500610351562,22.23214340209961,22.451786041259766,19.859386444091797,369350800,,,,,,,False
2014-06-03,22.44499969482422,22.812143325805664,22.4375,22.769285202026367,20.140233993530273,292709200,,,,,,,False
2014-06-04,22.765714645385742,23.13892936706543,22.71821403503418,23.029285430908203,20.370216369628906,335482000,,,,,,,False
2014-06-05,23.078571319580078,23.19178581237793,22.95035743713379,23.11964225769043,20.45013999938965,303805600,,,,,,,False
2014-06-06,23.21071434020996,23.259286880493164,23.016786575317383,23.05607032775879,20.393905639648438,349938400,,,,,,,False
2014-06-09,23.174999237060547,23.469999313354492,22.9375,23.424999237060547,20.720237731933594,301660000,,,,,,,False
2014-06-10,23.6825008392334,23.762500762939453,23.392499923706055,23.5625,20.841861724853516,251108000,,,,,,,False
2014-06-11,23.532499313354492,23.690000534057617,23.36750030517578,23.46500015258789,20.7556209564209,182724000,,,,,,,False
2014-06-12,23.510000228881836,23.530000686645508,22.975000381469727,23.072500228881836,20.408437728881836,218996000,,,,,,,False
2014-06-13,23.049999237060547,23.110000610351562,22.719999313354492,22.81999969482422,20.185089111328125,218100000,,,,,,,False
2014-06-16,22.877500534057617,23.1875,22.862499237060547,23.049999237060547,20.388538360595703,142244000,,,,,,,False
2014-06-17,23.077499389648438,23.174999237060547,22.950000762939453,23.020000457763672,20.362003326416016,118904000,,,,,,,False
2014-06-18,23.0674991607666,23.072500228881836,22.837499618530273,23.045000076293945,20.384117126464844,134056000,,,,,,,False
2014-06-19,23.072500228881836,23.075000762939453,22.834999084472656,22.96500015258789,20.313350677490234,142112000,,,57.15509338003225,,,,False
2014-06-20,22.962499618530273,23.137500762939453,22.725000381469727,22.727500915527344,20.1032772064209,403592000,,,51.851786993823644,,,,False
2014-06-23,22.829999923706055,22.905000686645508,22.649999618530273,22.707500457763672,20.08558464050293,174776000,,,51.419095247990946,,,,False
2014-06-24,22.6875,22.934999465942383,22.547500610351562,22.56999969482422,19.963956832885742,156144000,,,48.427149954495725,,,,False
2014-06-25,22.552499771118164,22.674999237060547,22.412500381469727,22.59000015258789,19.981647491455078,147476000,,,48.892981903404866,,,,False
