timestamp,open,high,low,close,volume,trade_count,vwap,BB_upper,BB_mid,BB_lower,MACD,MACD_signal,RSI,RSI_ema,Volume,RSI_signal,MACD_flip,BB_diverging,Signal,PnL,ROI
2024-03-01 00:00:00+00:00,61150.9455,61712.43,60791.116,61129.3285,0.0,0.0,0.0,,,,,,,,0.0,0,0,,,,
2024-03-01 04:00:00+00:00,61108.805,61761.896,61085.64,61459.21,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-01 08:00:00+00:00,61450.795,62203.956,61371.897,61868.925,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-01 12:00:00+00:00,61925.715,62651.898,61156.667,61267.51,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-01 16:00:00+00:00,61376.3435,62473.6355,61266.185,62233.62,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-01 20:00:00+00:00,62329.1,63132.4485,62247.355,62407.42,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-02 00:00:00+00:00,62442.85,62442.85,61961.237,62294.2035,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-02 04:00:00+00:00,62265.568,62281.063,61825.54,62027.9195,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-02 08:00:00+00:00,62025.0,62098.8265,61680.995,61866.705,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-02 12:00:00+00:00,61840.35,62168.55,61589.367,61763.665,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-02 16:00:00+00:00,61791.605,62119.721,61648.973,62119.721,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-02 20:00:00+00:00,62130.3945,62185.01,61708.9455,61984.945,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
2024-03-03 00:00:00+00:00,61952.9265,62018.829,61651.5,61930.38,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,,,
