timestamp,open,high,low,close,volume,trade_count,vwap,BB_upper,BB_mid,BB_lower,MACD,MACD_signal,RSI,RSI_ema,Volume,RSI_signal,MACD_flip,BB_diverging,Signal
2024-06-10 17:00:00+00:00,69987.5955,70077.965,69768.811,70050.381,0.0,0.0,0.0,,,,,,,,0.0,0,0,,
2024-06-10 18:00:00+00:00,70032.491,70128.4725,69801.71,69873.3885,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-10 19:00:00+00:00,69776.59,69776.59,69414.145,69470.082,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-10 20:00:00+00:00,69470.315,69678.59,69379.735,69678.59,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-10 21:00:00+00:00,69676.827,69676.827,69529.44,69600.705,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-10 22:00:00+00:00,69587.395,69604.5725,69436.0495,69517.89,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-10 23:00:00+00:00,69517.1845,69569.244,69412.0,69547.935,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-11 00:00:00+00:00,69564.1365,69595.492,69419.885,69426.3295,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-11 01:00:00+00:00,69443.37,69525.5645,68559.1835,68559.1835,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-11 02:00:00+00:00,68616.52,68854.3375,67972.145,68272.31,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-11 03:00:00+00:00,68239.901,68483.17,68192.665,68470.29,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-11 04:00:00+00:00,68412.28,68439.9675,67680.894,68032.5385,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-11 05:00:00+00:00,67998.456,68067.6455,67701.6215,67884.3045,0.0,0.0,0.0,,,,,,,,0.0,0,0,0.0,
2024-06-11 06:00:00+00:00,67917.292,67952.504,67484.449,67614.635,0.002,2.0,67601.166,,,,,,,,0.002,0,0,0.0,
2024-06-11 07:00:00+00:00,67636.158,67862.7,67556.6745,67606.2135,0.001,1.0,67760.82,,,,,,13.15954996836965,,0.001,0,0,0.0,
2024-06-11 08:00:00+00:00,67568.15,67668.1305,67298.9,67537.955,0.002,2.0,67416.59,,,,,,12.87425925718173,,0.002,0,0,0.0,
2024-06-11 09:00:00+00:00,67520.325,67628.797,66969.5,67079.91,0.001,1.0,67080.86,,,,,,11.13046239905594,,0.001,0,0,0.0,
2024-06-11 10:00:00+00:00,67029.59,67289.565,66843.195,66957.8,0.002,2.0,67070.24,,,,,,10.713836353392688,,0.002,0,0,0.0,
2024-06-11 11:00:00+00:00,66924.575,67084.8145,66786.174,66910.475,0.0,0.0,0.0,,,,,,10.549031546136645,,0.0,0,0,0.0,
2024-06-11 12:00:00+00:00,66846.75,67159.0,66815.225,67048.05,0.0,0.0,0.0,70600.71683829692,68456.94830000002,66313.17976170311,,,14.658798558912197,,0.0,0,0,0.0,
2024-06-11 13:00:00+00:00,66969.4,67278.8805,66603.0575,66789.39,0.0,0.0,0.0,70424.09768570443,68293.89875000001,66163.69981429559,,,13.411201669166644,,0.0,0,0,-1.0,
