timestamp,open,high,low,close,volume,trade_count,vwap,BB_upper,BB_mid,BB_lower,MACD,MACD_signal,RSI,RSI_ema,Volume,RSI_signal,MACD_flip,BB_width,BB_diverging,Signal,PnL,ROI
2021-01-04 05:00:00+00:00,92.11,96.06,90.915,92.3,53357714.0,381395.0,93.073926,,,,,,,,53357714.0,0,0,,0,,,
2021-01-05 05:00:00+00:00,92.1,93.2077,91.41,92.77,35423311.0,251409.0,92.292856,,,,,,,,35423311.0,0,0,,0,,,
2021-01-06 05:00:00+00:00,91.62,92.28,89.46,90.33,53974259.0,390211.0,90.937034,,,,,,,,53974259.0,0,0,,0,,,
2021-01-07 05:00:00+00:00,91.33,95.51,91.2,95.16,44673511.0,320951.0,94.246174,,,,,,,,44673511.0,0,0,,0,,,
2021-01-08 05:00:00+00:00,95.98,96.4,93.27,94.58,40777972.0,310340.0,94.436218,,,,,,,,40777972.0,0,0,,0,,,
2021-01-11 05:00:00+00:00,94.025,99.23,93.76,97.25,49811769.0,361141.0,97.618282,,,,,,,,49811769.0,0,0,,0,,,
2021-01-12 05:00:00+00:00,97.86,98.97,94.07,95.355,69123356.0,416610.0,96.026889,,,,,,,,69123356.0,0,0,,0,,,
2021-01-13 05:00:00+00:00,93.01,93.89,90.84,91.78,62004369.0,471427.0,91.998279,,,,,,,,62004369.0,0,0,,0,,,
2021-01-14 05:00:00+00:00,91.77,92.36,90.45,90.79,54695005.0,399610.0,91.087542,,,,,,,,54695005.0,0,0,,0,,,
2021-01-15 05:00:00+00:00,90.75,91.59,87.86,88.21,51911327.0,365355.0,89.294422,,,,,,,,51911327.0,0,0,,0,,,
2021-01-19 05:00:00+00:00,89.56,89.58,87.24,89.45,47111300.0,334763.0,88.584375,,,,,,,,47111300.0,0,0,,0,,,
2021-01-20 05:00:00+00:00,90.55,90.78,88.6,88.75,36555937.0,260947.0,89.369609,,,,,,,,36555937.0,0,0,,0,,,
2021-01-21 05:00:00+00:00,89.34,92.07,88.43,91.53,56247899.0,354658.0,90.708854,,,,,,,,56247899.0,0,0,,0,,,
2021-01-22 05:00:00+00:00,94.42,95.95,91.88,92.79,73230334.0,465955.0,93.465302,,,,,,,,73230334.0,0,0,,0,,,
2021-01-25 05:00:00+00:00,94.14,95.74,91.4,94.13,56879997.0,403054.0,93.95433,,,,,,53.345521023766,,56879997.0,0,0,,0,,,
2021-01-26 05:00:00+00:00,94.91,95.7171,93.63,94.71,61259925.0,436624.0,94.97733,,,,,,54.387219182225635,,61259925.0,0,0,,0,,,
