2023-2023,1078.796622540247
2023-2023,1078.796622540247
2023-2023,1078.796622540247
2023-2023,1078.796622540247
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2021-2022,-451.71066827856146
2021-2022,-451.71066827856146
2023-2023,1078.796622540247
2023-2023,1078.796622540247
2023-2023,1078.796622540247
2023-2023,1078.796622540247
2023-2023,1078.796622540247
2023-2023,617.5553591765395
2023-2023,355.0141238305857
2023-2023,617.5553591765395
2023-2023,1180.740631590204
