Date,Open,High,Low,Close,Adj Close,Volume,BB_upper,BB_mid,BB_lower,MACD,MACD_signal,RSI,RSI_ema,RSI_signal,MACD_flip,BB_width,BB_diverging,Signal,PnL,ROI
2021-01-04,92.11000061035156,96.05999755859375,90.91999816894531,92.30000305175781,92.30000305175781,51802600,,,,,,,,0,0,,0,,,
2021-01-05,92.0999984741211,93.20999908447266,91.41000366210938,92.7699966430664,92.7699966430664,34208000,,,,,,,,0,0,,0,,,
2021-01-06,91.62000274658203,92.27999877929688,89.45999908447266,90.33000183105469,90.33000183105469,51911700,,,,,,,,0,0,,0,,,
2021-01-07,91.33000183105469,95.51000213623047,91.19999694824219,95.16000366210938,95.16000366210938,42897200,,,,,,,,0,0,,0,,,
2021-01-08,95.9800033569336,96.4000015258789,93.2699966430664,94.58000183105469,94.58000183105469,39816400,,,,,,,,0,0,,0,,,
2021-01-11,94.02999877929688,99.2300033569336,93.76000213623047,97.25,97.25,48600200,,,,,,,,0,0,,0,,,
2021-01-12,97.86000061035156,98.97000122070312,94.06999969482422,95.36000061035156,95.36000061035156,67672300,,,,,,,,0,0,,0,,,
2021-01-13,93.01000213623047,93.88999938964844,90.83999633789062,91.77999877929688,91.77999877929688,60712900,,,,,,,,0,0,,0,,,
2021-01-14,91.7699966430664,92.36000061035156,90.44999694824219,90.79000091552734,90.79000091552734,53408200,,,,,,,,0,0,,0,,,
2021-01-15,90.75,91.58999633789062,87.86000061035156,88.20999908447266,88.20999908447266,49340300,,,,,,,,0,0,,0,,,
2021-01-19,89.55999755859375,89.58000183105469,87.23999786376953,89.44999694824219,89.44999694824219,45115100,,,,,,,,0,0,,0,,,
2021-01-20,90.55000305175781,90.77999877929688,88.5999984741211,88.75,88.75,35185800,,,,,,,,0,0,,0,,,
2021-01-21,89.33999633789062,92.06999969482422,88.43000030517578,91.52999877929688,91.52999877929688,54221900,,,,,,,,0,0,,0,,,
2021-01-22,94.41999816894531,95.94999694824219,91.87999725341797,92.79000091552734,92.79000091552734,71294700,,,,,,,,0,0,,0,,,
2021-01-25,94.13999938964844,95.73999786376953,91.4000015258789,94.12999725341797,94.12999725341797,55086900,,,,,,53.34551247664804,,0,0,,0,,,
2021-01-26,94.91000366210938,95.72000122070312,93.62999725341797,94.70999908447266,94.70999908447266,59449100,,,,,,54.38721466616824,,0,0,,0,,,
2021-01-27,91.0999984741211,91.87999725341797,86.22000122070312,88.83999633789062,88.83999633789062,73341200,,,,,,43.74223677083905,,0,0,,0,,,
2021-01-28,89.83000183105469,89.87999725341797,87.30000305175781,87.5199966430664,87.5199966430664,47048400,,,,,,41.762729805579355,,0,0,,0,,,
2021-01-29,87.55999755859375,88.33000183105469,85.0199966430664,85.63999938964844,85.63999938964844,56735800,,,,,,39.05210993433773,,0,0,,0,,,
2021-02-01,86.83000183105469,87.94999694824219,84.66000366210938,87.66000366210938,87.66000366210938,42359300,97.61777066762214,91.47749977111816,85.33722887461418,,,43.309740189011656,,0,0,12.280541793007956,0,,,
2021-02-02,88.48999786376953,89.27999877929688,86.94999694824219,88.86000061035156,88.86000061035156,33850000,97.53603321821183,91.30549964904785,85.07496607988386,,,45.734910956539906,,0,0,12.461067138327962,1,,,
2021-02-03,88.5999984741211,89.4800033569336,87.33999633789062,87.88999938964844,87.88999938964844,32312900,97.42432800501028,91.06149978637696,84.69867156774363,,,44.092887924851524,,0,0,12.72565643726665,1,,,
2021-02-04,88.22000122070312,88.5999984741211,87.05999755859375,87.83999633789062,87.83999633789062,30791600,97.44792730338301,90.93699951171875,84.4260717200545,,,44.00517893461867,,0,0,13.021855583328517,1,,,
2021-02-05,88.1500015258789,88.36000061035156,86.87999725341797,87.9000015258789,87.9000015258789,30268700,96.90985159229632,90.57399940490723,84.23814721751813,,,44.148756104972506,,0,0,12.671704374778187,-1,,,
2021-02-08,88.30999755859375,91.98999786376953,87.9800033569336,91.47000122070312,91.47000122070312,47639900,96.50103623540406,90.41849937438965,84.33596251337525,,,52.02963437070538,,0,0,12.165073722028808,-1,,,
2021-02-09,91.38999938964844,93.30000305175781,90.55000305175781,90.91000366210938,90.91000366210938,37596400,95.32737118463872,90.10149955749512,84.87562793035151,,,50.81829863876255,,0,0,10.451743254287209,-1,,,
2021-02-10,91.5,93.2699966430664,90.45999908447266,92.3499984741211,92.3499984741211,42441300,94.71544232953285,89.9509994506836,85.18655657183434,,,53.7971059498664,,0,0,9.528885757698504,-1,,,
2021-02-11,92.9000015258789,93.6500015258789,91.33000183105469,92.66000366210938,92.66000366210938,35571000,94.8417372485373,89.99499969482422,85.14826214111113,,,54.43690675298939,47.47594453399217,0,0,9.693475107426167,1,,,
2021-02-12,92.75,94.22000122070312,91.9000015258789,93.7699966430664,93.7699966430664,38538400,95.25533748341452,90.14399948120118,85.03266147898783,,,56.74648641862369,48.712016785276376,0,0,10.222676004426688,1,,,
2021-02-16,93.9000015258789,94.0,90.75,91.45999908447266,91.45999908447266,35105900,95.36796672471132,90.30649948120117,85.24503223769102,,,50.9574844267543,49.01141247080677,0,0,10.122934487020302,-1,,,
2021-02-17,90.55999755859375,90.95999908447266,88.56999969482422,89.94000244140625,89.94000244140625,32245500,95.38037539068094,90.33099975585938,85.28162412103782,,,47.52209413429787,48.81283669260558,-1,0,10.098751269643117,-1,,,
2021-02-18,89.08999633789062,89.5999984741211,87.30999755859375,88.63999938964844,88.63999938964844,35624900,95.38198642089341,90.3254997253418,85.26901302979019,,,44.74374474735788,48.27029109990588,0,0,10.112973391103225,1,,,
2021-02-19,89.75,90.41999816894531,88.69000244140625,89.58000183105469,89.58000183105469,29548300,95.26297978346943,90.22799987792969,85.19301997238995,,,47.149808587472705,48.12089343158146,0,0,10.069959811079485,-1,,,
2021-02-22,88.1500015258789,88.30000305175781,85.20999908447266,85.37000274658203,85.37000274658203,36930200,95.16809366882835,89.85699996948242,84.54590627013648,-0.979424990989969,-0.7885126580722973,38.96609712234408,46.90025392368314,0,0,10.622187398691864,1,1.1800659924836165,,
2021-02-23,83.4000015258789,85.11000061035156,79.36000061035156,84.73999786376953,84.73999786376953,49720900,94.76439839499692,89.3875,84.01060160500309,-1.2915069657009184,-0.8891115195980215,37.90581174071145,45.700994965953576,0,0,10.753796789993828,1,1.1514526585373812,,
